TransactionID AccountID   TransactionDate         Amount                                  TransactionType
46            46          2023-06-15 00:00:00.000 4550.00                                 Withdrawal
47            47          2023-11-28 00:00:00.000 3100.00                                 Deposit
48            48          2024-01-25 00:00:00.000 4900.00                                 Withdrawal
49            49          2023-05-07 00:00:00.000 3400.00                                 Deposit
50            50          2023-10-09 00:00:00.000 5100.00                                 Withdrawal
51            51          2024-02-20 00:00:00.000 3250.00                                 Deposit
52            52          2023-08-14 00:00:00.000 4350.00                                 Withdrawal
53            53          2023-12-05 00:00:00.000 2850.00                                 Deposit
54            54          2024-03-15 00:00:00.000 5450.00                                 Withdrawal
55            55          2023-07-11 00:00:00.000 3950.00                                 Deposit
56            56          2023-11-30 00:00:00.000 4650.00                                 Withdrawal
57            57          2024-01-18 00:00:00.000 3200.00                                 Deposit
58            58          2023-04-22 00:00:00.000 5000.00                                 Withdrawal
59            59          2023-09-12 00:00:00.000 3500.00                                 Deposit
60            60          2024-02-05 00:00:00.000 5200.00                                 Withdrawal
61            61          2023-06-28 00:00:00.000 3100.00                                 Deposit
62            62          2023-12-19 00:00:00.000 4200.00                                 Withdrawal
63            63          2024-03-20 00:00:00.000 2700.00                                 Deposit
64            64          2023-05-15 00:00:00.000 5300.00                                 Withdrawal
65            65          2023-10-27 00:00:00.000 3800.00                                 Deposit
66            66          2024-01-31 00:00:00.000 4500.00                                 Withdrawal
67            67          2023-08-08 00:00:00.000 3050.00                                 Deposit
68            68          2023-12-12 00:00:00.000 4850.00                                 Withdrawal
69            69          2024-02-12 00:00:00.000 3400.00                                 Deposit
70            70          2023-07-20 00:00:00.000 5050.00                                 Withdrawal
71            71          2023-11-05 00:00:00.000 3150.00                                 Deposit
72            72          2024-01-02 00:00:00.000 4300.00                                 Withdrawal
73            73          2023-04-10 00:00:00.000 2900.00                                 Deposit
74            74          2023-09-25 00:00:00.000 5400.00                                 Withdrawal
75            75          2024-03-01 00:00:00.000 3750.00                                 Deposit
76            76          2023-06-07 00:00:00.000 4600.00                                 Withdrawal
77            77          2023-10-18 00:00:00.000 3150.00                                 Deposit
78            78          2024-02-22 00:00:00.000 5100.00                                 Withdrawal
79            79          2023-05-29 00:00:00.000 3550.00                                 Deposit
80            80          2023-12-25 00:00:00.000 5250.00                                 Withdrawal
81            81          2024-01-15 00:00:00.000 3300.00                                 Deposit
82            82          2023-08-30 00:00:00.000 4400.00                                 Withdrawal
83            83          2023-11-14 00:00:00.000 2800.00                                 Deposit
84            84          2024-03-18 00:00:00.000 5500.00                                 Withdrawal
85            85          2023-07-05 00:00:00.000 4000.00                                 Deposit
86            86          2023-12-01 00:00:00.000 4700.00                                 Withdrawal
87            87          2024-02-09 00:00:00.000 3250.00                                 Deposit
88            88          2023-05-22 00:00:00.000 5150.00                                 Withdrawal
89            89          2023-10-10 00:00:00.000 3600.00                                 Deposit
90            90          2024-01-20 00:00:00.000 5300.00                                 Withdrawal
91            91          2023-06-12 00:00:00.000 3200.00                                 Deposit
92            92          2023-11-20 00:00:00.000 4300.00                                 Withdrawal
93            93          2024-03-08 00:00:00.000 2850.00                                 Deposit
94            94          2023-04-25 00:00:00.000 5400.00                                 Withdrawal
95            95          2023-09-01 00:00:00.000 3900.00                                 Deposit
96            96          2024-01-28 00:00:00.000 4600.00                                 Withdrawal
97            97          2023-07-15 00:00:00.000 3100.00                                 Deposit
98            98          2023-12-08 00:00:00.000 4950.00                                 Withdrawal
99            99          2024-02-25 00:00:00.000 3450.00                                 Deposit
100           100         2023-05-01 00:00:00.000 5100.00                                 Withdrawal
101           101         2023-10-14 00:00:00.000 3250.00                                 Deposit
102           102         2024-01-19 00:00:00.000 4400.00                                 Withdrawal
103           103         2023-06-03 00:00:00.000 2950.00                                 Deposit
104           104         2023-11-09 00:00:00.000 5500.00                                 Withdrawal
105           105         2024-03-14 00:00:00.000 3800.00                                 Deposit
106           106         2023-08-17 00:00:00.000 4650.00                                 Withdrawal
107           107         2023-12-27 00:00:00.000 3150.00                                 Deposit
108           108         2024-02-01 00:00:00.000 5200.00                                 Withdrawal
109           109         2023-05-11 00:00:00.000 3600.00                                 Deposit
110           110         2023-09-28 00:00:00.000 5350.00                                 Withdrawal
111           111         2024-01-05 00:00:00.000 3400.00                                 Deposit
112           112         2023-07-22 00:00:00.000 4500.00                                 Withdrawal
113           113         2023-12-16 00:00:00.000 2900.00                                 Deposit
114           114         2024-03-19 00:00:00.000 5600.00                                 Withdrawal
115           115         2023-04-14 00:00:00.000 4100.00                                 Deposit
116           116         2023-10-02 00:00:00.000 4800.00                                 Withdrawal
117           117         2024-02-11 00:00:00.000 3300.00                                 Deposit
118           118         2023-06-25 00:00:00.000 5250.00                                 Withdrawal
119           119         2023-11-18 00:00:00.000 3700.00                                 Deposit
120           120         2024-01-22 00:00:00.000 5400.00                                 Withdrawal
121           121         2023-08-05 00:00:00.000 3350.00                                 Deposit
122           122         2023-12-31 00:00:00.000 4450.00                                 Withdrawal
123           123         2024-03-25 00:00:00.000 3000.00                                 Deposit
124           124         2023-05-19 00:00:00.000 5550.00                                 Withdrawal
125           125         2023-10-12 00:00:00.000 4050.00                                 Deposit
126           126         2024-01-07 00:00:00.000 4750.00                                 Withdrawal
127           127         2023-07-18 00:00:00.000 3200.00                                 Deposit
128           128         2023-12-04 00:00:00.000 5050.00                                 Withdrawal
129           129         2024-02-17 00:00:00.000 3550.00                                 Deposit
130           130         2023-04-28 00:00:00.000 5200.00                                 Withdrawal
131           131         2023-09-08 00:00:00.000 3350.00                                 Deposit
132           132         2024-01-30 00:00:00.000 4500.00                                 Withdrawal
133           133         2023-06-11 00:00:00.000 3050.00                                 Deposit
134           134         2023-11-22 00:00:00.000 5600.00                                 Withdrawal
135           135         2024-03-21 00:00:00.000 3900.00                                 Deposit
136           136         2023-08-25 00:00:00.000 4750.00                                 Withdrawal
137           137         2023-12-11 00:00:00.000 3300.00                                 Deposit
138           138         2024-02-04 00:00:00.000 5300.00                                 Withdrawal
139           139         2023-05-02 00:00:00.000 3700.00                                 Deposit
140           140         2023-10-19 00:00:00.000 5450.00                                 Withdrawal
141           141         2024-01-14 00:00:00.000 3500.00                                 Deposit
142           142         2023-07-07 00:00:00.000 4600.00                                 Withdrawal
143           143         2023-12-28 00:00:00.000 3000.00                                 Deposit
144           144         2024-03-28 00:00:00.000 5700.00                                 Withdrawal
145           145         2023-04-19 00:00:00.000 4200.00                                 Deposit
146           146         2023-09-14 00:00:00.000 4900.00                                 Withdrawal
147           147         2024-02-23 00:00:00.000 3400.00                                 Deposit
148           148         2023-06-01 00:00:00.000 5350.00                                 Withdrawal
149           149         2023-11-01 00:00:00.000 3800.00                                 Deposit
150           150         2024-01-10 00:00:00.000 5500.00                                 Withdrawal
151           151         2023-08-12 00:00:00.000 3450.00                                 Deposit
152           152         2023-12-15 00:00:00.000 4550.00                                 Withdrawal
153           153         2024-03-03 00:00:00.000 3100.00                                 Deposit
154           154         2023-05-27 00:00:00.000 5650.00                                 Withdrawal
155           155         2023-10-05 00:00:00.000 4150.00                                 Deposit
156           156         2024-01-16 00:00:00.000 4850.00                                 Withdrawal
157           157         2023-07-25 00:00:00.000 3300.00                                 Deposit
158           158         2023-12-18 00:00:00.000 5150.00                                 Withdrawal
159           159         2024-02-27 00:00:00.000 3650.00                                 Deposit
160           160         2023-04-05 00:00:00.000 5300.00                                 Withdrawal
161           161         2023-09-30 00:00:00.000 3450.00                                 Deposit
162           162         2024-01-04 00:00:00.000 4600.00                                 Withdrawal
163           163         2023-06-22 00:00:00.000 3150.00                                 Deposit
164           164         2023-11-15 00:00:00.000 5700.00                                 Withdrawal
165           165         2024-03-07 00:00:00.000 4000.00                                 Deposit
166           166         2023-08-04 00:00:00.000 4850.00                                 Withdrawal
167           167         2023-12-20 00:00:00.000 3400.00                                 Deposit
168           168         2024-02-18 00:00:00.000 5400.00                                 Withdrawal
169           169         2023-05-18 00:00:00.000 3800.00                                 Deposit
170           170         2023-10-22 00:00:00.000 5550.00                                 Withdrawal
171           171         2024-01-27 00:00:00.000 3600.00                                 Deposit
172           172         2023-07-13 00:00:00.000 4700.00                                 Withdrawal
173           173         2023-12-07 00:00:00.000 3100.00                                 Deposit
174           174         2024-03-11 00:00:00.000 5800.00                                 Withdrawal
175           175         2023-04-21 00:00:00.000 4300.00                                 Deposit
176           176         2023-09-07 00:00:00.000 5000.00                                 Withdrawal
177           177         2024-02-16 00:00:00.000 3500.00                                 Deposit
178           178         2023-06-18 00:00:00.000 5450.00                                 Withdrawal
179           179         2023-11-25 00:00:00.000 3900.00                                 Deposit
180           180         2024-01-01 00:00:00.000 5600.00                                 Withdrawal
181           181         2023-08-28 00:00:00.000 3550.00                                 Deposit
182           182         2023-12-02 00:00:00.000 4650.00                                 Withdrawal
183           183         2024-03-24 00:00:00.000 3200.00                                 Deposit
184           184         2023-05-09 00:00:00.000 5750.00                                 Withdrawal
185           185         2023-10-17 00:00:00.000 4250.00                                 Deposit
186           186         2024-01-11 00:00:00.000 4950.00                                 Withdrawal
187           187         2023-07-02 00:00:00.000 3400.00                                 Deposit
188           188         2023-12-23 00:00:00.000 5250.00                                 Withdrawal
189           189         2024-02-02 00:00:00.000 3750.00                                 Deposit
190           190         2023-04-12 00:00:00.000 5400.00                                 Withdrawal
191           191         2023-09-21 00:00:00.000 3550.00                                 Deposit
192           192         2024-01-13 00:00:00.000 4700.00                                 Withdrawal
193           193         2023-06-05 00:00:00.000 3250.00                                 Deposit
194           194         2023-11-07 00:00:00.000 5800.00                                 Withdrawal
195           195         2024-03-17 00:00:00.000 4100.00                                 Deposit
196           196         2023-08-11 00:00:00.000 4950.00                                 Withdrawal
197           197         2023-12-13 00:00:00.000 3500.00                                 Deposit
198           198         2024-02-21 00:00:00.000 5500.00                                 Withdrawal
199           199         2023-05-31 00:00:00.000 3900.00                                 Deposit
200           200         2023-10-31 00:00:00.000 5650.00                                 Withdrawal
201           201         2024-01-19 00:00:00.000 3700.00                                 Deposit
202           202         2023-07-17 00:00:00.000 4800.00                                 Withdrawal
203           203         2023-12-10 00:00:00.000 3200.00                                 Deposit
204           204         2024-03-23 00:00:00.000 5900.00                                 Withdrawal
205           205         2023-04-03 00:00:00.000 4400.00                                 Deposit
206           206         2023-09-16 00:00:00.000 5100.00                                 Withdrawal
207           207         2024-02-07 00:00:00.000 3600.00                                 Deposit
208           208         2023-06-10 00:00:00.000 5550.00                                 Withdrawal
209           209         2023-11-13 00:00:00.000 4000.00                                 Deposit
210           210         2024-01-15 00:00:00.000 5700.00                                 Withdrawal
211           211         2023-08-20 00:00:00.000 3650.00                                 Deposit
212           212         2023-12-27 00:00:00.000 4750.00                                 Withdrawal
213           213         2024-03-09 00:00:00.000 3300.00                                 Deposit
214           214         2023-05-14 00:00:00.000 5850.00                                 Withdrawal
215           215         2023-10-23 00:00:00.000 4350.00                                 Deposit
216           216         2024-01-21 00:00:00.000 5050.00                                 Withdrawal
217           217         2023-07-08 00:00:00.000 3500.00                                 Deposit
218           218         2023-12-14 00:00:00.000 5350.00                                 Withdrawal
219           219         2024-02-13 00:00:00.000 3850.00                                 Deposit
220           220         2023-04-26 00:00:00.000 5500.00                                 Withdrawal
221           1           2026-04-20 11:25:44.213 500.00                                  Deposit
222           1           2026-04-20 11:25:44.240 200.00                                  Withdrawal
223           1           2026-04-20 11:25:58.493 500.00                                  Deposit
224           1           2026-04-20 11:25:58.497 200.00                                  Withdrawal
225           1           2026-04-20 11:26:57.490 500.00                                  Deposit
226           1           2026-04-20 11:26:57.490 200.00                                  Withdrawal
999           1           2026-04-20 11:29:12.723 20000.00                                Deposit
1000          1           2026-04-20 11:30:54.543 20000.00                                Deposit
1001          1           2026-04-20 11:31:50.083 20000.00                                Deposit

(229 rows affected)


Completion time: 2026-04-20T11:42:34.9181865+07:00
