AccountID   CustomerID  Balance                                 OpenDate
67          67          3050.00                                 2023-08-08
68          68          4850.00                                 2023-12-12
69          69          3400.00                                 2024-02-12
70          70          5050.00                                 2023-07-20
71          71          3150.00                                 2023-11-05
72          72          4300.00                                 2024-01-02
73          73          2900.00                                 2023-04-10
74          74          5400.00                                 2023-09-25
75          75          3750.00                                 2024-03-01
76          76          4600.00                                 2023-06-07
77          77          3150.00                                 2023-10-18
78          78          5100.00                                 2024-02-22
79          79          3550.00                                 2023-05-29
80          80          5250.00                                 2023-12-25
81          81          3300.00                                 2024-01-15
82          82          4400.00                                 2023-08-30
83          83          2800.00                                 2023-11-14
84          84          5500.00                                 2024-03-18
85          85          4000.00                                 2023-07-05
86          86          4700.00                                 2023-12-01
87          87          3250.00                                 2024-02-09
88          88          5150.00                                 2023-05-22
89          89          3600.00                                 2023-10-10
90          90          5300.00                                 2024-01-20
91          91          3200.00                                 2023-06-12
92          92          4300.00                                 2023-11-20
93          93          2850.00                                 2024-03-08
94          94          5400.00                                 2023-04-25
95          95          3900.00                                 2023-09-01
96          96          4600.00                                 2024-01-28
97          97          3100.00                                 2023-07-15
98          98          4950.00                                 2023-12-08
99          99          3450.00                                 2024-02-25
100         100         5100.00                                 2023-05-01
101         101         3250.00                                 2023-10-14
102         102         4400.00                                 2024-01-19
103         103         2950.00                                 2023-06-03
104         104         5500.00                                 2023-11-09
105         105         3800.00                                 2024-03-14
106         106         4650.00                                 2023-08-17
107         107         3150.00                                 2023-12-27
108         108         5200.00                                 2024-02-01
109         109         3600.00                                 2023-05-11
110         110         5350.00                                 2023-09-28
111         111         3400.00                                 2024-01-05
112         112         4500.00                                 2023-07-22
113         113         2900.00                                 2023-12-16
114         114         5600.00                                 2024-03-19
115         115         4100.00                                 2023-04-14
116         116         4800.00                                 2023-10-02
117         117         3300.00                                 2024-02-11
118         118         5250.00                                 2023-06-25
119         119         3700.00                                 2023-11-18
120         120         5400.00                                 2024-01-22
121         121         3350.00                                 2023-08-05
122         122         4450.00                                 2023-12-31
123         123         3000.00                                 2024-03-25
124         124         5550.00                                 2023-05-19
125         125         4050.00                                 2023-10-12
126         126         4750.00                                 2024-01-07
127         127         3200.00                                 2023-07-18
128         128         5050.00                                 2023-12-04
129         129         3550.00                                 2024-02-17
130         130         5200.00                                 2023-04-28
131         131         3350.00                                 2023-09-08
132         132         4500.00                                 2024-01-30
133         133         3050.00                                 2023-06-11
134         134         5600.00                                 2023-11-22
135         135         3900.00                                 2024-03-21
136         136         4750.00                                 2023-08-25
137         137         3300.00                                 2023-12-11
138         138         5300.00                                 2024-02-04
139         139         3700.00                                 2023-05-02
140         140         5450.00                                 2023-10-19
141         141         3500.00                                 2024-01-14
142         142         4600.00                                 2023-07-07
143         143         3000.00                                 2023-12-28
144         144         5700.00                                 2024-03-28
145         145         4200.00                                 2023-04-19
146         146         4900.00                                 2023-09-14
147         147         3400.00                                 2024-02-23
148         148         5350.00                                 2023-06-01
149         149         3800.00                                 2023-11-01
150         150         5500.00                                 2024-01-10
151         151         3450.00                                 2023-08-12
152         152         4550.00                                 2023-12-15
153         153         3100.00                                 2024-03-03
154         154         5650.00                                 2023-05-27
155         155         4150.00                                 2023-10-05
156         156         4850.00                                 2024-01-16
157         157         3300.00                                 2023-07-25
158         158         5150.00                                 2023-12-18
159         159         3650.00                                 2024-02-27
160         160         5300.00                                 2023-04-05
161         161         3450.00                                 2023-09-30
162         162         4600.00                                 2024-01-04
163         163         3150.00                                 2023-06-22
164         164         5700.00                                 2023-11-15
165         165         4000.00                                 2024-03-07
166         166         4850.00                                 2023-08-04
167         167         3400.00                                 2023-12-20
168         168         5400.00                                 2024-02-18
169         169         3800.00                                 2023-05-18
170         170         5550.00                                 2023-10-22
171         171         3600.00                                 2024-01-27
172         172         4700.00                                 2023-07-13
173         173         3100.00                                 2023-12-07
174         174         5800.00                                 2024-03-11
175         175         4300.00                                 2023-04-21
176         176         5000.00                                 2023-09-07
177         177         3500.00                                 2024-02-16
178         178         5450.00                                 2023-06-18
179         179         3900.00                                 2023-11-25
180         180         5600.00                                 2024-01-01
181         181         3550.00                                 2023-08-28
182         182         4650.00                                 2023-12-02
183         183         3200.00                                 2024-03-24
184         184         5750.00                                 2023-05-09
185         185         4250.00                                 2023-10-17
186         186         4950.00                                 2024-01-11
187         187         3400.00                                 2023-07-02
188         188         5250.00                                 2023-12-23
189         189         3750.00                                 2024-02-02
190         190         5400.00                                 2023-04-12
191         191         3550.00                                 2023-09-21
192         192         4700.00                                 2024-01-13
193         193         3250.00                                 2023-06-05
194         194         5800.00                                 2023-11-07
195         195         4100.00                                 2024-03-17
196         196         4950.00                                 2023-08-11
197         197         3500.00                                 2023-12-13
198         198         5500.00                                 2024-02-21
199         199         3900.00                                 2023-05-31
200         200         5650.00                                 2023-10-31
201         201         3700.00                                 2024-01-19
202         202         4800.00                                 2023-07-17
203         203         3200.00                                 2023-12-10
204         204         5900.00                                 2024-03-23
205         205         4400.00                                 2023-04-03
206         206         5100.00                                 2023-09-16
207         207         3600.00                                 2024-02-07
208         208         5550.00                                 2023-06-10
209         209         4000.00                                 2023-11-13
210         210         5700.00                                 2024-01-15
211         211         3650.00                                 2023-08-20
212         212         4750.00                                 2023-12-27
213         213         3300.00                                 2024-03-09
214         214         5850.00                                 2023-05-14
215         215         4350.00                                 2023-10-23
216         216         5050.00                                 2024-01-21
217         217         3500.00                                 2023-07-08
218         218         5350.00                                 2023-12-14
219         219         3850.00                                 2024-02-13
220         220         5500.00                                 2023-04-26
221         221         3650.00                                 2023-09-24
222         222         4800.00                                 2024-01-09
223         223         3350.00                                 2023-06-19
224         224         5900.00                                 2023-11-20
225         225         4200.00                                 2024-03-26
226         226         5050.00                                 2023-08-29
227         227         3600.00                                 2023-12-17
228         228         5600.00                                 2024-02-06
229         229         4000.00                                 2023-05-06
230         230         5750.00                                 2023-10-15
231         231         3800.00                                 2024-01-29
232         232         4900.00                                 2023-07-21
233         233         3300.00                                 2023-12-03
234         234         6000.00                                 2024-03-13
235         235         4500.00                                 2023-04-11
236         236         5200.00                                 2023-09-02
237         237         3700.00                                 2024-02-29
238         238         5650.00                                 2023-06-23
239         239         4100.00                                 2023-11-29
240         240         5800.00                                 2024-01-03
241         241         3750.00                                 2023-08-07
242         242         4850.00                                 2023-12-09
243         243         3400.00                                 2024-03-01
244         244         5950.00                                 2023-05-21
245         245         4450.00                                 2023-10-04
246         246         5150.00                                 2024-01-14
247         247         3600.00                                 2023-07-30
248         248         5450.00                                 2023-12-22
249         249         3950.00                                 2024-02-10
250         250         5600.00                                 2023-04-08
251         251         3750.00                                 2023-09-10
252         252         4900.00                                 2024-01-24
253         253         3450.00                                 2023-06-27
254         254         6000.00                                 2023-11-12
255         255         4300.00                                 2024-03-16
256         256         5150.00                                 2023-08-16
257         257         3700.00                                 2023-12-06
258         258         5700.00                                 2024-02-24
259         259         4100.00                                 2023-05-24
260         260         5850.00                                 2023-10-08
261         261         3900.00                                 2024-01-11
262         262         5000.00                                 2023-07-04
263         263         3400.00                                 2023-12-29
264         264         6100.00                                 2024-03-27
265         265         4600.00                                 2023-04-29
266         266         5300.00                                 2023-09-18
267         267         3800.00                                 2024-02-15
268         268         5750.00                                 2023-06-14
269         269         4200.00                                 2023-11-03
270         270         5900.00                                 2024-01-05
271         271         3850.00                                 2023-08-15
272         272         4950.00                                 2023-12-24
273         273         3500.00                                 2024-03-04
274         274         6050.00                                 2023-05-04
275         275         4550.00                                 2023-10-29
276         276         5250.00                                 2024-01-26
277         277         3700.00                                 2023-07-12
278         278         5550.00                                 2023-12-02
279         279         4050.00                                 2024-02-08
280         280         5700.00                                 2023-04-16
281         281         3850.00                                 2023-09-27
282         282         5000.00                                 2024-01-17
283         283         3550.00                                 2023-06-08
284         284         6100.00                                 2023-11-26
285         285         4400.00                                 2024-03-20
286         286         5250.00                                 2023-08-22
287         287         3800.00                                 2023-12-18
288         288         5800.00                                 2024-02-12
289         289         4200.00                                 2023-05-13
290         290         5950.00                                 2023-10-14
291         291         4000.00                                 2024-01-31
292         292         5100.00                                 2023-07-26
293         293         3500.00                                 2023-12-09
294         294         6200.00                                 2024-03-22
295         295         4700.00                                 2023-04-24
296         296         5400.00                                 2023-09-05
297         297         3900.00                                 2024-02-19
298         298         5850.00                                 2023-06-30
299         299         4300.00                                 2023-11-08
300         300         6000.00                                 2024-01-14
301         301         3950.00                                 2023-08-01
302         302         5050.00                                 2023-12-11
303         303         3600.00                                 2024-03-11
304         304         6150.00                                 2023-05-18
305         305         4650.00                                 2023-10-06
306         306         5350.00                                 2024-01-04
307         307         3800.00                                 2023-07-09
308         308         5650.00                                 2023-12-25
309         309         4150.00                                 2024-02-01
310         310         5800.00                                 2023-04-20
311         311         3950.00                                 2023-09-14
312         312         5100.00                                 2024-01-23
313         313         3650.00                                 2023-06-15
314         314         6200.00                                 2023-11-04
315         315         4500.00                                 2024-03-18
316         316         5350.00                                 2023-08-10
317         317         3900.00                                 2023-12-30
318         318         5900.00                                 2024-02-26
319         319         4300.00                                 2023-05-01
320         320         6050.00                                 2023-10-26
321         321         4100.00                                 2024-01-07
322         322         5200.00                                 2023-07-14
323         323         3600.00                                 2023-12-21
324         324         6300.00                                 2024-03-05
325         325         4800.00                                 2023-04-05
326         326         5500.00                                 2023-09-29
327         327         4000.00                                 2024-02-13
328         328         5950.00                                 2023-06-04
329         329         4400.00                                 2023-11-19
330         330         6100.00                                 2024-01-20
331         331         4050.00                                 2023-08-19
332         332         5150.00                                 2023-12-07
333         333         3700.00                                 2024-03-29
334         4           6250.00                                 2023-05-22
335         5           4750.00                                 2023-10-13
336         6           5450.00                                 2024-01-16
337         7           3900.00                                 2023-07-23
338         8           5750.00                                 2023-12-13
339         9           4250.00                                 2024-02-22
340         10          5900.00                                 2023-04-13
341         11          4050.00                                 2023-09-22
342         12          5200.00                                 2024-01-03
343         13          3750.00                                 2023-06-25
344         14          6300.00                                 2023-11-15
345         15          4600.00                                 2024-03-08
346         16          5450.00                                 2023-08-04
347         17          4000.00                                 2023-12-01
348         18          6000.00                                 2024-02-18
349         19          4400.00                                 2023-05-10
350         20          6150.00                                 2023-10-09
351         21          4200.00                                 2024-01-25
352         22          5300.00                                 2023-07-02
353         23          3700.00                                 2023-12-16
354         24          6400.00                                 2024-03-12
355         25          4900.00                                 2023-04-28
356         26          5600.00                                 2023-09-08
357         27          4100.00                                 2024-02-05
358         28          6050.00                                 2023-06-12
359         29          4500.00                                 2023-11-23
360         30          6200.00                                 2024-01-09
361         31          4150.00                                 2023-08-30
362         32          5250.00                                 2023-12-29
363         33          3800.00                                 2024-03-21
364         34          6350.00                                 2023-05-15
365         35          4850.00                                 2023-10-21
366         36          5550.00                                 2024-01-12
367         37          4000.00                                 2023-07-07
368         38          5850.00                                 2023-12-05
369         39          4350.00                                 2024-02-27
370         40          6000.00                                 2023-04-02
371         41          4150.00                                 2023-09-17
372         42          5300.00                                 2024-01-11
373         43          3850.00                                 2023-06-03
374         44          6400.00                                 2023-11-30
375         45          4700.00                                 2024-03-02
376         46          5550.00                                 2023-08-27
377         47          4100.00                                 2023-12-26
378         48          6100.00                                 2024-02-09
379         49          4500.00                                 2023-05-28
380         50          6250.00                                 2023-10-18
381         51          4300.00                                 2024-01-14
382         52          5400.00                                 2023-07-19
383         53          3800.00                                 2023-12-08
384         54          6500.00                                 2024-03-24
385         55          5000.00                                 2023-04-14
386         56          5700.00                                 2023-09-11
387         57          4200.00                                 2024-02-21
388         58          6150.00                                 2023-06-21
389         59          4600.00                                 2023-11-10
390         60          6300.00                                 2024-01-28
391         61          4250.00                                 2023-08-03
392         62          5350.00                                 2023-12-14
393         63          3900.00                                 2024-03-07
394         64          6450.00                                 2023-05-09
395         65          4950.00                                 2023-10-31
396         66          5650.00                                 2024-01-19
397         67          4100.00                                 2023-07-31
398         68          5950.00                                 2023-12-22
399         69          4450.00                                 2024-02-14
400         70          6100.00                                 2023-04-26
401         71          4250.00                                 2023-09-02
402         72          5400.00                                 2024-01-05
403         73          3950.00                                 2023-06-17
404         74          6500.00                                 2023-11-13
405         75          4800.00                                 2024-03-26
406         76          5650.00                                 2023-08-14
407         77          4200.00                                 2023-12-10
408         78          6200.00                                 2024-02-03
409         79          4600.00                                 2023-05-12
410         80          6350.00                                 2023-10-02
411         81          4400.00                                 2024-01-22
412         82          5500.00                                 2023-07-11
413         83          3900.00                                 2023-12-04
414         84          6600.00                                 2024-03-18
415         85          5100.00                                 2023-04-21
416         86          5800.00                                 2023-09-25
417         87          4300.00                                 2024-02-17
418         88          6250.00                                 2023-06-29
419         89          4700.00                                 2023-11-16
420         90          6400.00                                 2024-01-08
421         91          4350.00                                 2023-08-11
422         92          5450.00                                 2023-12-19
423         93          4000.00                                 2024-03-15
424         94          6550.00                                 2023-05-04
425         95          5050.00                                 2023-10-08
426         96          5750.00                                 2024-01-24
427         97          4200.00                                 2023-07-18
428         98          6050.00                                 2023-12-09
429         99          4550.00                                 2024-02-28
430         100         6200.00                                 2023-04-10
431         101         4350.00                                 2023-09-20
432         102         5500.00                                 2024-01-13
433         103         4050.00                                 2023-06-07
434         104         6600.00                                 2023-11-25
435         105         4900.00                                 2024-03-09
436         106         5750.00                                 2023-08-02
437         107         4300.00                                 2023-12-20
438         108         6300.00                                 2024-02-22
439         109         4700.00                                 2023-05-19
440         110         6450.00                                 2023-10-12
441         111         4500.00                                 2024-01-15
442         112         5600.00                                 2023-07-28
443         113         4000.00                                 2023-12-31
444         114         6700.00                                 2024-03-22
445         115         5200.00                                 2023-04-15
446         116         5900.00                                 2023-09-13
447         117         4400.00                                 2024-02-11
448         118         6350.00                                 2023-06-02
449         119         4800.00                                 2023-11-06
520         520         6500.00                                 2023-04-29

(450 rows affected)


Completion time: 2026-04-20T11:37:48.5842925+07:00
